author_id,Skatter_og_avgifter,No class,Avvikling_olje,Privat_velferdtxt,Midlertidig_arbeid,Unge_asylsøkere,Skole,Heldagsskole,Militær,Surrogati,Arbeidstid,Sammenslåing_av_kommuner,Narkotikapolitikk,Flyktninger,Veiprosjekter,Fritt_behanglingsvalg,EØS,Politi,Oljeleting,Kapitalisme,Ulv,Formueskatt,Gårder,Kristendom,Kontantstøtten,target
27314433,0.8512624468904885,3.0499754266109167,0.0,0.0,0.0,0.5189155403595564,0.0,0.5177405730007285,0.07513589094885087,0.0,0.3637964049213135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 0, 0, 0, 1, 1, 1, 1, 1]"
377590012,1.983477693017078,83.77104846958134,0.0,0.0,0.0,0.0,0.0,0.0,3.4372671514887925,2.793910094415506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.587926350547696,0.0,0.0,3.174494506389598,"[1, 0, 1, 0, 0, 0, 1, 1, 1]"
863633306,1.140360446447382,128.32028684814554,2.4546490470275097,0.0,4.626853567228592,0.0,0.0,3.256728143145119,0.0,4.360460686937569,1.0256068288575477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6630887120634463,0.0,4.141545875420152,2.204473511104526,0.0,1.5058189886685243,"[1, 0, 0, 0, 1, 1, 0, 1, 0]"
1356983895309373440,0.0,20.5210327322988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4810943843084066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2602533609702586,0.0,0.0,0.0,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 1]"
1350448732043681794,0.0,27.85118110020691,3.5485359413063184,4.890090120934835,8.375780025903367,0.0,0.0,0.0,0.0,0.0,4.593166984300302,2.6328385095890114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
1351958427669569536,0.0,0.1754641014152727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
1003278240583241728,0.0,2.204227275373758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 0, 0, 0, 0, 0, 0, 1, 0]"
11534522,0.0,2.828789624911183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 0, 1, 1, 1, 1, 1, 0, 1]"
1352332285673144320,0.0,23.113934619303777,0.0,0.0,0.0,0.9434538990978811,0.0,0.0,1.2957993678859845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 0, 0, 0, 0, 1, 0, 1, 0]"
1357054433784389636,0.0,30.172757071121314,0.0,3.034690935911852,0.0,0.0,7.125998757940369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2727271651588827,0.0,0.0,0.0,0.0,2.4255425439759213,0.0,3.7967851697890813,0.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 0, 1]"
271099189,0.0,1.5583687002970499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 0, 0, 1, 0, 0, 0, 1, 1]"
1205654574205460481,5.951826784445054,164.37851642292418,1.9058966209070654,3.2611133095589655,3.593934982071014,0.0,6.064677214127373,0.0,0.0,1.976097726779864,0.0,2.363466813364691,0.0,1.6578603982230902,3.2806806363569736,0.0,6.3463081439762625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0982308920075523,"[1, 0, 1, 1, 0, 1, 1, 1, 0]"
1341789186135887872,0.0,36.419143522283754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7932036794954813,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 0, 0, 0, 1, 1, 0, 0, 0]"
2721610294,0.0,0.2985716628334818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
1365042315572768768,0.0,0.7727080563992508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 0, 0, 0, 0, 0, 0, 1, 0]"
1288026732,0.26443207621902565,36.033766161475334,0.0,2.311989812677484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8181417385172365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[1, 0, 0, 0, 1, 0, 0, 1, 1]"
